FIPS,STNAME,CTYNAME,CENSUS1900POP,CENSUS1910POP,CENSUS1920POP,CENSUS1930POP,CENSUS1940POP,CENSUS1950POP,CENSUS1960POP,CENSUS1970POP,CENSUS1980POP,CENSUS1990POP,CENSUS2000POP,CENSUS2010POP,POPESTIMATE2015,CBSA Code,Metropolitan Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,Central/Outlying County
30093,Montana,Silver Bow County,47635,56848,60313,56969,53207,48422,46454,41981,38092,33941,34606,34200,34691,15580,,,"Butte-Silver Bow, MT",Micropolitan Statistical Area,,,Central
30095,Montana,Stillwater County,---,---,7630,6253,5694,5416,5526,4632,5598,6536,8195,9117,9425,13740,,,"Billings, MT",Metropolitan Statistical Area,,,Outlying
30097,Montana,Sweet Grass County,3086,4029,4926,3944,3719,3621,3290,2980,3216,3154,3609,3651,3620,,,,,,,,
30099,Montana,Teton County,5080,9546,5870,6068,6922,7232,7295,6116,6491,6271,6445,6073,6062,,,,,,,,
30101,Montana,Toole County,---,---,3724,6714,6769,6867,7904,5839,5559,5046,5267,5324,5077,,,,,,,,
30103,Montana,Treasure County,---,---,1990,1661,1499,1402,1345,1069,981,874,861,718,684,,,,,,,,
30105,Montana,Valley County,4355,13630,11542,11181,15181,11353,17080,11471,10250,8239,7675,7369,7621,,,,,,,,
30107,Montana,Wheatland County,---,---,5619,3751,3286,3187,3026,2529,2359,2246,2259,2168,2111,,,,,,,,
30109,Montana,Wibaux County,---,---,3113,2767,2161,1907,1698,1465,1476,1191,1068,1017,1072,,,,,,,,
30111,Montana,Yellowstone County,6212,22944,29600,30785,41182,55875,79016,87367,108035,113419,129352,147972,156529,13740,,,"Billings, MT",Metropolitan Statistical Area,,,Central
31001,Nebraska,Adams County,18840,20900,22621,26275,24576,28855,28944,30553,30656,29625,31151,31364,31567,25580,,,"Hastings, NE",Micropolitan Statistical Area,,,Central
31003,Nebraska,Antelope County,11344,14003,15243,15206,13289,11624,10176,9047,8675,7965,7452,6685,6415,,,,,,,,
31005,Nebraska,Arthur County,---,---,1412,1344,1045,803,680,606,513,462,444,460,451,,,,,,,,
31007,Nebraska,Banner County,1114,1444,1435,1676,1403,1325,1269,1034,918,852,819,690,711,42420,,,"Scottsbluff, NE",Micropolitan Statistical Area,,,Outlying
31009,Nebraska,Blaine County,603,1672,1778,1584,1538,1203,1016,847,867,675,583,478,477,,,,,,,,
31011,Nebraska,Boone County,11689,13145,14146,14738,12127,10721,9134,8190,7391,6667,6259,5505,5310,,,,,,,,
31013,Nebraska,Box Butte County,5572,6131,8407,11861,10736,12279,11688,10094,13696,13130,12158,11308,11325,,,,,,,,
31015,Nebraska,Boyd County,7332,8826,8243,7169,6060,4911,4513,3752,3331,2835,2438,2099,2002,,,,,,,,
31017,Nebraska,Brown County,3470,6083,6749,5772,5962,5164,4436,4021,4377,3657,3525,3145,2982,,,,,,,,
31019,Nebraska,Buffalo County,20254,21907,23787,24338,23655,25134,26236,31222,34797,37447,42259,46102,48578,28260,,,"Kearney, NE",Micropolitan Statistical Area,,,Central
31021,Nebraska,Burt County,13040,12726,12559,13062,12546,11536,10192,9247,8813,7868,7791,6858,6538,,,,,,,,
31023,Nebraska,Butler County,15703,15403,14606,14410,13106,11432,10312,9461,9330,8601,8767,8395,8058,,,,,,,,
31025,Nebraska,Cass County,21330,19786,18029,17684,16992,16361,17821,18076,20297,21318,24334,25241,25421,36540,,420,"Omaha-Council Bluffs, NE-IA",Metropolitan Statistical Area,,"Omaha-Council Bluffs-Fremont, NE-IA",Outlying
31027,Nebraska,Cedar County,12467,15191,16225,16427,15126,13843,13368,12192,11375,10131,9615,8852,8518,,,,,,,,
31029,Nebraska,Chase County,2559,3613,4939,5484,5310,5176,4317,4129,4758,4381,4068,3966,3963,,,,,,,,
31031,Nebraska,Cherry County,6541,10414,11753,10898,9637,8397,8218,6846,6758,6307,6148,5713,5824,,,,,,,,
31033,Nebraska,Cheyenne County,5570,4551,8405,10187,9505,12081,14828,10778,10057,9494,9830,9998,10137,,,,,,,,
31035,Nebraska,Clay County,15735,15729,14486,13571,10445,8700,8717,8266,8106,7123,7039,6542,6291,,,,,,,,
31037,Nebraska,Colfax County,11211,11610,11624,11434,10627,10010,9595,9498,9890,9139,10441,10515,10717,,,,,,,,
31039,Nebraska,Cuming County,14584,13782,13769,14327,13562,12994,12435,12034,11664,10117,10203,9139,9075,,,,,,,,
31041,Nebraska,Custer County,19758,25668,26407,26189,22591,19170,16517,14092,13877,12270,11793,10939,10828,,,,,,,,
31043,Nebraska,Dakota County,6286,6564,7694,9505,9836,10401,12168,13137,16573,16742,20253,21006,20550,43580,,,"Sioux City, IA-NE-SD",Metropolitan Statistical Area,,,Central
31045,Nebraska,Dawes County,6215,8254,10160,11493,10128,9708,9536,9693,9609,9021,9060,9182,8958,,,,,,,,
31047,Nebraska,Dawson County,12214,15961,16004,17875,17890,19393,19405,19467,22304,19940,24365,24326,23892,30420,,,"Lexington, NE",Micropolitan Statistical Area,,,Central
31049,Nebraska,Deuel County,2630,1786,3282,3992,3580,3330,3125,2717,2462,2237,2098,1941,1910,,,,,,,,
31051,Nebraska,Dixon County,10535,11477,11815,11586,10413,9129,8106,7453,7137,6143,6339,6000,5769,43580,,,"Sioux City, IA-NE-SD",Metropolitan Statistical Area,,,Outlying
31053,Nebraska,Dodge County,22298,22145,23197,25273,23799,26265,32471,34782,35847,34500,36160,36691,36567,23340,,420,"Fremont, NE",Micropolitan Statistical Area,,"Omaha-Council Bluffs-Fremont, NE-IA",Central
31055,Nebraska,Douglas County,140590,168546,204524,232982,247562,281020,343490,389455,397038,416444,463585,517110,549029,36540,,420,"Omaha-Council Bluffs, NE-IA",Metropolitan Statistical Area,,"Omaha-Council Bluffs-Fremont, NE-IA",Central
31057,Nebraska,Dundy County,2434,4098,4869,5610,5122,4354,3570,2926,2861,2582,2292,2008,1770,,,,,,,,
31059,Nebraska,Fillmore County,15087,14674,13671,12971,11417,9610,9425,8137,7920,7103,6634,5890,5553,,,,,,,,
31061,Nebraska,Franklin County,9455,10303,10067,9094,7740,7096,5449,4566,4377,3938,3574,3225,2977,,,,,,,,
31063,Nebraska,Frontier County,8781,8572,8540,8114,6417,5282,4311,3982,3647,3101,3099,2756,2631,,,,,,,,
31065,Nebraska,Furnas County,12373,12083,11657,12140,10098,9385,7711,6897,6486,5553,5324,4959,4831,,,,,,,,
31067,Nebraska,Gage County,30051,30325,29721,30242,29588,28052,26818,25719,24456,22794,22993,22311,21715,13100,,339,"Beatrice, NE",Micropolitan Statistical Area,,"Lincoln-Beatrice, NE",Central
31069,Nebraska,Garden County,---,3538,4572,5099,4680,4114,3472,2929,2802,2460,2292,2057,1916,,,,,,,,
31071,Nebraska,Garfield County,2127,3417,3496,3207,3444,2912,2699,2411,2363,2141,1902,2049,2014,,,,,,,,
31073,Nebraska,Gosper County,5301,4933,4669,4287,3687,2734,2489,2178,2140,1928,2143,2044,2025,30420,,,"Lexington, NE",Micropolitan Statistical Area,,,Outlying
31075,Nebraska,Grant County,763,1097,1486,1427,1327,1057,1009,1019,877,769,747,614,646,,,,,,,,
31077,Nebraska,Greeley County,5691,8047,8685,8442,6845,5575,4595,4000,3462,3006,2714,2538,2435,,,,,,,,
31079,Nebraska,Hall County,17206,20361,23720,27117,27523,32186,35757,42851,47690,48925,53534,58607,61132,24260,,,"Grand Island, NE",Metropolitan Statistical Area,,,Central
31081,Nebraska,Hamilton County,13330,13459,13237,12159,9982,8778,8714,8867,9301,8862,9403,9124,9141,,,,,,,,
31083,Nebraska,Harlan County,9370,9578,9220,8957,7130,7189,5081,4357,4292,3810,3786,3423,3441,,,,,,,,
31085,Nebraska,Hayes County,2708,3011,3327,3603,2958,2404,1919,1530,1356,1222,1068,967,915,,,,,,,,
31087,Nebraska,Hitchcock County,4409,5415,6045,7269,6404,5867,4829,4051,4079,3750,3111,2908,2879,,,,,,,,
31089,Nebraska,Holt County,12224,15545,17151,16509,16552,14859,13722,12933,13552,12599,11551,10435,10263,,,,,,,,
31091,Nebraska,Hooker County,432,981,1378,1180,1253,1061,1130,939,990,793,783,736,714,,,,,,,,
31093,Nebraska,Howard County,10343,10783,10739,10020,8422,7226,6541,6807,6773,6055,6567,6274,6382,24260,,,"Grand Island, NE",Metropolitan Statistical Area,,,Outlying
31095,Nebraska,Jefferson County,15196,16852,16140,16409,15532,13623,11620,10436,9817,8759,8333,7547,7221,,,,,,,,
31097,Nebraska,Johnson County,11197,10187,8940,9157,8662,7251,6281,5743,5285,4673,4488,5217,5239,,,,,,,,
31099,Nebraska,Kearney County,9866,9106,8583,8094,6854,6409,6580,6707,7053,6629,6882,6489,6558,28260,,,"Kearney, NE",Micropolitan Statistical Area,,,Outlying
31101,Nebraska,Keith County,1951,3692,5294,6721,8333,7449,7958,8487,9364,8584,8875,8368,8136,,,,,,,,
31103,Nebraska,Keya Paha County,3076,3452,3594,3203,3235,2160,1672,1340,1301,1029,983,824,797,,,,,,,,
31105,Nebraska,Kimball County,758,1942,4498,4675,3913,4283,7975,6009,4882,4108,4089,3821,3716,,,,,,,,
31107,Nebraska,Knox County,14343,18358,18894,19110,16478,14820,13300,11723,11457,9534,9374,8701,8468,,,,,,,,
31109,Nebraska,Lancaster County,64835,73793,85902,100324,100585,119742,155272,167972,192884,213641,250291,285407,306096,30700,,339,"Lincoln, NE",Metropolitan Statistical Area,,"Lincoln-Beatrice, NE",Central
31111,Nebraska,Lincoln County,11416,15684,23420,25627,25425,27380,28491,29538,36455,32508,34632,36288,35501,35820,,,"North Platte, NE",Micropolitan Statistical Area,,,Central
31113,Nebraska,Logan County,960,1521,1596,2014,1742,1357,1108,991,983,878,774,763,791,35820,,,"North Platte, NE",Micropolitan Statistical Area,,,Outlying
31115,Nebraska,Loup County,1305,2188,1946,1818,1777,1348,1097,854,859,683,712,632,606,,,,,,,,
31117,Nebraska,McPherson County,517,2470,1692,1358,1175,825,735,623,593,546,533,539,489,35820,,,"North Platte, NE",Micropolitan Statistical Area,,,Outlying
31119,Nebraska,Madison County,16976,19101,22511,26037,24269,24338,25145,27402,31382,32655,35226,34876,34999,35740,,,"Norfolk, NE",Micropolitan Statistical Area,,,Central
31121,Nebraska,Merrick County,9255,10379,10763,10619,9354,8812,8363,8751,8945,8042,8204,7845,7805,24260,,,"Grand Island, NE",Metropolitan Statistical Area,,,Outlying
31123,Nebraska,Morrill County,---,4584,9151,9950,9436,8263,7057,5813,6085,5423,5440,5042,4925,,,,,,,,
31125,Nebraska,Nance County,8222,8926,8712,8718,7653,6512,5635,5142,4740,4275,4038,3735,3573,,,,,,,,
31127,Nebraska,Nemaha County,14952,13095,12547,12356,12781,10973,9099,8976,8367,7980,7576,7248,7005,,,,,,,,
31129,Nebraska,Nuckolls County,12414,13019,13236,12629,10446,9609,8217,7404,6726,5786,5057,4500,4322,,,,,,,,
31131,Nebraska,Otoe County,22288,19323,19494,19901,18994,17056,16503,15576,15183,14252,15396,15740,15842,,,,,,,,
31133,Nebraska,Pawnee County,11770,10582,9578,9423,8514,6744,5356,4473,3937,3317,3087,2773,2691,,,,,,,,
31135,Nebraska,Perkins County,1702,2570,3967,5834,5197,4809,4189,3423,3637,3367,3200,2970,2932,,,,,,,,
31137,Nebraska,Phelps County,10772,10451,9900,9261,8452,9048,9800,9553,9769,9715,9747,9188,9217,,,,,,,,
31139,Nebraska,Pierce County,8445,10122,10681,11080,10211,9405,8722,8493,8481,7827,7857,7266,7190,35740,,,"Norfolk, NE",Micropolitan Statistical Area,,,Outlying
31141,Nebraska,Platte County,17747,19006,19464,21181,20191,19910,23992,26508,28852,29820,31662,32237,32876,18100,,,"Columbus, NE",Micropolitan Statistical Area,,,Central
31143,Nebraska,Polk County,10542,10521,10714,10092,8748,8044,7210,6468,6320,5675,5639,5406,5171,,,,,,,,
31145,Nebraska,Red Willow County,9604,11056,11434,13859,11951,12977,12940,12191,12615,11705,11448,11055,10883,,,,,,,,
